10000 10000
7306 1890 7
8016 8871 6
1127 2034 9
609 4171 3
5909 3523 7
6690 9334 8
8762 189 2
6299 1079 7
6931 4704 10
5238 3350 2
5344 7009 4
8260 5025 5
5785 6152 2
4406 3113 5
6840 9022 10
5406 5712 4
1765 826 4
3239 3477 5
607 408 9
2427 5646 2
1400 990 1
8616 5603 6
8350 1388 10
2823 2146 3
1467 8986 5
9986 4392 9
4192 2510 8
2235 5749 5
4061 6356 4
592 5135 2
473 2888 3
7363 1504 6
5630 6206 6
49 5382 3
3933 6849 9
6839 3188 4
5457 7380 4
1254 5967 5
6881 28 3
6564 6972 9
8245 7445 9
7269 1160 3
1896 6790 1
7912 3191 3
2426 3476 5
5926 315 5
171 5773 7
574 3379 4
9430 260 4
4643 3176 7
1343 7774 4
931 1395 5
8375 3292 7
2025 7556 9
7410 6334 7
5996 2260 3
4122 2432 8
9628 9358 7
1101 8789 10
5306 9784 8
132 1127 2
5108 2058 10
4892 6785 2
7818 5162 10
288 8924 4
6235 4920 4
2497 9042 8
884 5022 7
9002 2475 8
3733 7782 4
1641 4266 1
3674 9374 1
7103 4266 6
176 8437 8
805 8725 3
7768 1312 5
3344 161 10
7703 1045 2
5069 6400 8
3928 133 2
2571 8126 8
8693 1801 5
6873 5256 1
8190 5433 10
8318 6238 6
3722 359 10
398 55 2
6117 7758 9
3211 9180 9
2780 3108 5
131 2032 3
1748 725 4
9092 7599 3
7055 2141 6
3454 459 6
4931 533 7
4073 932 2
7024 3401 1
7372 6612 1
473 9392 1
3707 9523 3
1419 7624 1
7285 3068 2
4759 6475 3
7666 6282 5
6811 7565 8
9020 1638 2
4931 8662 4
4953 2387 8
4155 2860 1
6466 2919 6
7160 690 2
8580 4327 3
303 9086 8
7816 6752 2
2140 9916 8
3349 8936 8
5491 3867 1
7386 5173 10
5893 9328 10
145 5794 1
273 9307 1
4376 4239 9
1548 4543 7
1548 2359 10
7829 851 6
8028 552 4
9866 2395 3
6718 9781 6
5957 2027 5
4408 8524 1
5778 8797 10
7838 3174 10
578 1074 3
2405 2622 4
7336 6804 7
2183 4832 9
5966 4698 5
9968 7768 8
5496 3725 7
352 4485 2
1002 263 9
7312 4454 5
4213 5032 10
5657 3789 4
9460 1125 8
6818 9660 1
4728 5626 1
8682 1947 2
5122 3795 7
9940 4147 5
6931 5149 8
9072 8813 2
738 9378 7
7127 5035 8
2491 847 6
1010 7665 6
4362 2394 5
8765 7428 4
936 8902 9
3184 8843 6
9918 5774 7
6916 1198 1
4719 1937 1
3907 9064 7
6885 7907 4
3692 5270 2
3807 9632 6
2253 8397 6
2646 9333 9
6834 2518 2
1521 8788 8
1358 5704 7
6360 6776 4
740 683 10
156 3920 10
6772 3964 10
1053 7772 4
7728 6377 2
8183 9024 7
3893 2210 7
2094 3732 6
8774 5090 2
300 1450 8
115 2190 4
5346 8699 6
4837 5471 1
3246 6524 5
3992 604 2
3135 5139 6
1611 9033 7
8958 7479 9
1445 6253 1
9636 2905 3
956 3020 3
2959 8367 4
1586 9556 7
7826 9155 1
8190 3147 7
1284 6282 7
7049 4245 2
1377 9555 1
9437 1000 5
2587 637 10
9891 7945 3
9386 904 2
7579 8842 8
7596 6669 3
488 1211 2
3985 2495 4
8973 5897 10
2994 3626 5
846 3064 6
8600 2003 5
5612 1895 10
1996 1281 6
3099 5212 8
7406 9160 9
7221 9649 3
182 9986 10
5778 8959 7
9267 8305 4
8663 9151 10
9060 4104 5
94 6068 2
5425 8064 5
8012 1163 8
9442 4921 8
3892 8494 9
9554 8677 5
4064 4455 6
822 74 1
1207 8737 5
4656 7798 1
2813 4244 9
2864 6022 5
549 4034 8
9798 9828 1
1855 3721 6
9914 3275 5
4310 3691 10
7666 4514 4
5678 5721 3
9194 6730 1
6814 5895 8
502 8759 10
4958 5660 6
577 5458 7
1118 3666 8
6505 9932 5
569 594 7
5440 8260 3
385 291 6
4067 5837 6
1900 2652 1
3977 9506 3
8428 4465 5
6913 5042 4
1579 2512 2
6318 9017 6
4333 5938 10
2391 1378 3
4963 1763 6
5960 5831 3
7336 7731 5
958 8060 4
9692 6488 1
4087 3401 5
292 1333 10
163 7651 9
2670 8336 8
9419 7079 6
781 2042 2
8786 4355 5
8981 1691 8
5475 9001 8
4180 8694 6
3702 9133 9
8267 9425 2
1696 5940 6
494 8610 4
1583 8029 4
7699 5163 8
8282 301 3
4696 9282 6
5193 1110 8
3750 5290 4
5147 8993 7
9945 3612 4
2429 5308 4
8916 2154 4
3739 3738 3
5642 7789 8
5940 6071 10
6944 7119 2
9640 8664 2
1337 2414 5
4432 3913 10
6660 210 2
8313 2639 2
5906 1555 6
2109 1647 4
2693 7289 5
8441 9581 8
4490 6526 7
9821 6166 1
2615 3855 7
699 4639 2
4128 1299 3
7521 9612 2
6222 1870 10
7077 3979 7
8023 3024 8
6757 1465 10
4267 5955 8
2543 2129 6
5836 1096 1
7894 8147 10
3866 8627 1
48 6148 5
8869 2370 5
1950 5799 6
326 3822 10
2344 6932 6
295 1199 3
4772 94 4
1767 5930 10
8969 3825 9
810 7691 6
3950 7739 4
3054 2960 6
380 4911 6
1685 5237 8
6014 3933 2
1809 4228 1
6264 5352 6
2847 7119 6
6879 2440 3
9057 3250 6
9863 3552 5
3168 2958 8
8844 3338 9
319 5023 8
5616 7390 2
550 9199 2
330 1815 5
6557 4663 6
8715 1542 7
4697 6951 9
4723 6814 2
8839 9983 10
5916 5179 1
4256 5498 4
4186 7466 4
8049 8016 6
6140 8347 3
5936 1256 6
2852 9971 10
8560 4669 2
3870 5744 8
6381 4583 3
8203 6852 2
3363 1108 2
9898 5294 9
3824 3343 7
3301 5836 6
4593 1772 3
6901 976 4
7102 9536 3
4255 9759 9
4575 6140 3
4877 695 5
6711 410 5
4042 6661 2
5192 6837 7
711 6490 3
4576 7435 8
9698 4336 4
1144 7791 3
7258 2046 2
9117 6621 4
5559 7851 10
5205 4562 2
2311 4956 3
4712 6501 10
3161 7212 2
1093 8140 8
7150 4191 6
536 5335 7
3458 2593 4
6139 1710 7
7664 3621 8
3533 5178 2
2517 7490 1
1809 8554 4
4291 1715 8
3262 9161 8
6021 6311 9
3117 3199 4
8003 6657 10
1288 9148 10
1195 6813 2
5304 6698 10
328 9215 2
6660 7377 9
9493 8020 6
2242 7634 7
6779 3656 1
1860 3125 10
2275 1128 8
5284 8769 8
6356 6316 3
4697 1620 2
4568 8300 9
8282 4960 8
550 805 8
885 3047 5
6734 6179 3
8894 8039 8
605 6666 6
2622 8303 5
6492 4659 1
7174 5708 4
4555 6628 6
3856 4910 7
533 1812 2
1583 9050 2
267 2136 1
5311 1030 2
7128 1635 8
6425 610 1
4492 7102 2
8874 628 10
4877 1536 9
5533 5392 1
7501 2277 4
274 212 6
6095 6831 2
4447 2142 4
838 9270 1
248 5696 1
7960 188 5
332 9062 6
8411 292 2
9471 2177 6
5442 9678 3
9577 6304 6
2762 8752 7
4435 3199 10
7138 390 2
7828 6990 8
5481 4950 8
6587 1634 1
8322 6398 5
1593 5869 4
6608 1311 4
253 888 8
4110 2 10
8446 4437 2
1277 7927 2
3379 5756 2
7528 1237 4
1866 4176 1
1618 2499 9
8014 4092 8
6587 7053 2
1190 7306 2
2097 1416 5
8109 6214 4
7320 3844 2
3273 3575 8
6216 1103 7
461 9321 5
6341 7291 4
8619 5305 9
3119 1892 2
5282 9434 10
8333 1532 8
7739 5993 4
1583 3313 8
3354 2938 3
7233 9154 9
8701 9615 10
4345 2309 2
8841 928 9
7429 399 4
9422 5681 8
5073 4015 2
2140 1754 5
1773 9689 10
1603 9395 8
5007 2980 4
9515 1681 2
9697 2379 1
7170 1220 1
9948 5001 1
971 4423 4
7781 9496 9
6122 7988 6
457 6113 7
4456 4068 3
7746 9076 3
189 8591 7
8600 4640 6
5672 1810 8
25 8111 9
8425 9082 4
5210 6863 2
9659 9338 10
8566 9795 5
3514 603 4
1506 8349 2
8831 8539 5
7837 3491 6
5574 5516 6
4531 5541 7
4841 318 2
9574 5528 7
155 1539 5
5076 6457 2
2462 9972 6
3917 1478 5
4448 309 6
9923 4498 10
38 72 6
8315 4603 9
4704 9444 7
175 5370 5
5213 5525 7
3238 6953 4
7409 9416 6
2184 3333 7
1661 4134 8
9676 4057 7
7535 447 9
7262 8762 5
2530 3466 1
4468 9993 2
1935 5207 9
941 4797 5
2756 8558 1
8192 7095 6
7810 8756 10
7737 4784 9
8515 8672 6
9366 5934 1
1172 4817 9
2422 5637 5
5395 7572 4
246 8513 1
2050 1270 1
3270 5814 6
527 9976 4
1919 4065 1
7367 2581 3
9615 8299 9
6977 9471 6
7805 8245 4
1331 9993 8
64 239 4
9946 2289 6
8387 1911 10
274 2438 8
7270 4357 3
9050 8077 6
9502 4044 5
2240 1021 8
6148 5178 6
5693 6510 9
2810 6574 8
4793 6521 9
4398 1260 10
6169 7886 10
7916 5156 10
81 558 7
4826 6412 1
4223 8653 4
3090 1153 2
2907 3198 2
6365 2360 7
6414 7154 10
8752 7904 2
3001 426 8
6041 4694 7
6142 4775 5
7968 5954 8
190 177 3
3433 9619 8
1854 8879 6
3138 5244 6
4644 8011 2
5375 6763 9
7366 6117 7
3595 8510 3
4981 4652 1
3278 8972 5
7987 9162 4
7701 8947 5
8568 7153 4
8985 291 9
1762 1287 2
8046 6662 5
8586 380 4
9552 3976 4
1564 5309 8
4704 8587 10
150 2926 4
5773 627 3
7368 5547 7
4193 4532 10
9911 2647 8
9992 693 2
3189 9279 5
2502 5183 1
6678 6747 2
5505 7804 10
9657 4306 6
2970 6432 6
1583 3800 3
3701 7993 6
6110 4257 3
6159 601 8
2871 142 7
6315 8997 10
87 5675 9
9168 7532 5
3189 7189 4
137 6512 6
7712 4447 8
834 8148 1
4841 610 10
1495 6770 4
8842 9641 6
1820 2308 5
9981 8747 10
1242 7915 3
6658 1105 4
6381 7594 6
2536 5306 3
8843 2492 3
9496 3686 4
757 1533 4
2620 376 7
978 8548 7
8332 4882 4
7714 6124 1
4628 2782 8
5083 5516 2
5699 8052 10
7113 6896 5
3028 2744 1
3201 3501 4
6496 2474 2
5784 9804 3
3732 8136 5
4075 2202 1
5037 3182 3
7105 8266 1
3118 317 4
4438 7430 2
954 6810 6
4804 11 7
6539 2859 3
5003 4995 7
2015 8727 4
3909 9154 8
8279 544 1
1783 7649 7
804 767 4
4229 1557 6
4550 2511 7
3967 3667 10
533 6559 2
5926 1562 7
1122 3577 7
807 3838 3
9047 8469 7
4117 6604 6
3805 3760 6
3810 7989 5
1245 8891 9
1843 2858 8
2453 9744 7
2274 2022 9
3442 3144 8
3338 304 8
5093 9351 9
1039 9820 4
4635 9977 6
1702 3787 8
6678 5032 9
4166 3228 8
1674 5681 4
2092 4307 6
7721 4101 2
9630 3792 6
1730 8885 9
2298 9924 1
5823 911 8
3109 8965 5
4736 5644 10
5254 6162 8
4983 7836 1
4456 6281 10
2303 354 3
3295 9984 5
4590 1714 2
7941 365 7
1111 6188 10
4259 9297 6
7545 4033 10
5864 5640 4
3763 6975 1
3695 1432 2
7934 87 6
2627 3382 2
7463 4325 9
1185 2266 4
1183 9729 2
8444 340 2
8319 7886 5
190 102 7
8224 218 3
446 3913 7
8949 8200 4
7806 7179 7
2999 994 2
9907 2179 10
3532 9714 9
6994 8159 10
2457 2830 8
1953 3021 2
7090 7597 10
5554 4395 6
5450 3344 6
1785 1150 7
1503 4149 1
5546 409 3
1855 3941 7
4246 7287 8
6977 9744 9
7594 1698 2
1017 5140 1
8307 694 6
5862 2496 10
7969 4281 2
7255 5785 3
3887 1331 4
2699 9539 6
7578 3785 5
615 762 2
2835 4708 10
4428 5725 2
3618 4032 6
7203 6246 2
484 567 5
1267 4174 10
2552 8062 4
4245 7113 3
6232 4691 8
1859 1659 10
7230 846 10
651 5275 5
9212 8893 10
4819 2449 6
2922 9285 6
5306 6905 10
3476 9457 4
9329 54 10
4721 2639 3
250 850 2
6541 8080 1
7540 5083 6
4264 647 1
1373 5466 2
1081 8388 8
1356 3694 3
2157 3522 2
7373 9203 8
9702 276 7
3074 526 7
4458 7067 9
3040 959 2
545 5224 1
9647 2949 7
1199 4030 7
8388 1738 2
2482 248 6
6033 3973 10
5990 3675 6
4939 3101 3
4737 3911 2
2616 6951 2
1929 3848 8
1890 3496 7
3668 1047 10
3835 9435 10
4048 8269 10
7783 4302 3
7074 6644 10
290 7935 2
384 2673 5
3897 1641 7
8370 3570 5
8067 1812 3
7066 5481 2
95 5668 9
7566 9716 8
5286 3851 2
6978 926 7
5050 7568 2
6223 4304 7
1307 8201 8
9695 2924 1
1932 991 3
7664 8057 6
796 4504 6
9714 8423 4
3254 3709 6
1095 7039 4
1933 2089 4
4355 8312 10
2153 5972 3
5241 5667 7
8251 7599 9
9425 1616 8
6081 2412 5
4756 8478 8
5852 1732 9
4447 9180 10
6672 1113 10
2817 1820 4
3266 3974 8
8268 9215 6
2547 7466 7
1465 3243 3
1144 9324 7
1680 433 8
639 6285 2
3307 7084 2
9367 108 6
3868 9277 6
3033 2543 10
8171 7163 7
5328 9710 5
84 7527 9
6457 5024 5
7945 6704 10
7912 3696 7
5964 7003 1
3195 2722 1
7892 2942 8
4410 5976 3
4901 4147 9
4608 9475 9
4484 5911 9
1252 2368 3
3697 314 9
2926 4578 5
1145 542 1
6447 90 5
1858 7982 8
2897 8744 4
2832 3646 3
9930 4606 10
3090 9090 1
3778 343 2
5842 392 8
963 9670 6
3427 815 1
5599 7263 1
494 5473 5
4683 8370 10
8496 7554 8
9160 7484 4
9299 575 4
1701 705 7
6472 6548 1
4261 7511 2
277 7290 9
3187 2890 2
2539 9736 7
6225 771 10
2304 5619 4
4733 4779 9
5416 430 6
5190 2131 1
1658 4956 9
8519 5569 10
1402 5846 3
5100 5385 5
2414 4276 1
1552 502 4
9061 9158 3
4125 3892 2
6673 9308 4
6148 4498 7
6328 2509 3
9409 7380 5
0 8782 1
7882 234 9
5006 9000 5
8218 553 9
2201 9614 8
1803 91 2
6184 6764 10
3699 9264 1
3346 1945 2
4300 1354 2
824 1354 4
9547 9237 10
3655 595 3
8391 8814 8
9982 1015 4
4379 2819 6
5372 5355 10
9321 9055 7
473 8753 2
4134 3053 6
5175 3878 2
1350 3425 1
4112 3432 7
5874 1823 1
893 1805 8
5526 2536 7
251 4260 5
1741 3582 2
5199 407 5
4250 894 8
4655 6069 8
9118 3772 3
2819 4236 5
7115 6462 1
6577 7355 8
7054 2881 7
6703 3133 7
8059 1226 1
8470 6425 9
3986 675 5
2555 1682 4
5003 7152 8
7227 9971 4
6532 3438 6
364 15 1
6001 3422 3
6879 125 8
5666 8184 4
738 3006 1
6218 3344 8
2592 5899 10
1388 902 4
3955 4482 6
7111 7366 4
376 7730 2
7349 83 4
7203 6963 9
6542 8981 5
7107 9719 3
4097 5938 7
8114 4882 6
165 6270 1
9368 6578 3
4895 3689 9
7509 417 1
2842 7766 4
5245 1321 7
4125 7863 8
7541 4970 10
3963 9067 10
3729 3533 2
5746 50 5
8666 5771 3
2420 666 2
3540 4527 1
2390 7369 8
1324 8966 1
3572 9443 5
4802 6984 7
5751 947 7
5342 1028 10
9815 3127 3
559 8145 4
7881 566 2
5244 458 10
3025 2849 1
4924 525 8
8144 4097 1
5580 5251 6
7987 7354 5
2165 2696 6
9876 2512 3
7638 3071 8
1171 7305 6
8075 2549 5
3154 5574 6
1954 6850 1
6073 1347 10
3284 6927 4
3831 1266 8
1677 3431 7
6904 3308 9
5258 7298 2
1758 4822 7
8823 2897 9
2699 6051 5
5776 4357 6
9378 431 3
3430 67 2
2733 3898 9
9390 1927 2
5096 8832 2
9666 442 1
3660 2200 3
4958 7376 10
8806 6427 3
4581 2204 10
3558 1582 1
7530 5012 8
1133 4097 8
9651 9840 8
4305 4936 2
2266 955 4
3878 4615 5
3960 5925 3
3291 4732 10
8673 5665 4
8413 9223 9
4935 6753 3
1525 7886 1
8364 3890 1
7131 4547 9
1082 6813 4
1828 7044 1
4774 1004 9
5096 4296 1
1845 9321 6
7151 4086 9
4039 9022 4
2291 547 2
4641 5263 4
3183 2395 1
6662 9829 7
7447 1657 1
9200 6431 7
6878 1527 5
9288 9725 7
3715 6876 3
7365 915 7
7768 3206 6
8761 4200 10
9997 7383 5
9427 4045 6
8375 7845 4
4367 7045 5
1364 3923 5
5360 9563 10
2326 9630 6
9731 6995 1
2509 1115 9
5835 9876 1
776 9873 5
8112 5653 2
5277 380 9
4100 4748 4
5707 2464 9
8841 7824 4
1700 6503 4
1435 2586 1
8437 5095 6
4997 7282 5
5758 8058 10
254 2522 5
8795 7800 6
7886 8252 4
7669 3959 10
4080 2800 4
6405 852 9
2009 2287 7
959 7076 3
7377 2074 7
3671 4184 8
6190 4438 10
7067 9585 2
1972 7471 5
7977 1493 4
6446 5573 7
9091 1978 9
4592 339 9
2678 7651 5
2212 5028 1
9029 5051 5
6608 7593 3
357 4660 9
8259 6632 2
765 961 5
878 7407 8
144 2851 9
6615 7443 8
5373 6473 9
7559 8686 9
1820 7715 10
6616 4323 6
9499 1032 6
8319 5643 9
4610 6408 10
2395 3639 10
2104 135 3
3792 6750 8
2172 2123 1
8202 9683 7
9261 7855 4
1722 4471 9
1777 3970 4
2845 8641 7
4193 9604 8
2854 8351 7
5275 6807 2
547 6952 3
5966 9124 8
1507 3678 1
2085 9291 6
379 1014 10
5699 9143 2
2052 1988 4
4049 2533 10
5158 1740 1
9906 3367 8
8437 267 10
71 6233 6
181 7740 5
9973 9826 6
1269 6557 2
9740 2256 6
2181 4309 6
9616 4710 10
6655 6220 10
2045 6126 7
595 915 6
6096 987 10
722 1168 10
5378 1141 8
2973 8762 5
4287 4854 4
8392 7036 5
837 6652 7
2168 3308 7
5239 1705 3
1678 8652 8
8383 4749 7
1322 1823 7
8354 7201 1
1563 6526 5
1330 813 10
3353 5557 6
2389 2747 8
6135 4915 8
2453 6507 4
8545 8185 8
1904 2920 7
2603 595 10
4469 8949 3
3829 512 10
4656 8194 5
3985 1547 3
350 3936 10
9719 6423 7
8749 8876 4
9484 3773 1
8871 5678 4
9360 8281 9
5319 9102 10
1184 9284 2
3575 3940 7
6779 7925 6
1893 4627 5
3402 698 10
2531 9447 7
8166 8931 2
1987 4155 10
5080 3515 3
5120 5186 8
4109 6370 2
9962 6297 2
4010 3077 7
9606 4970 4
1842 4725 4
501 7256 2
4389 5422 5
2051 3761 10
1742 5193 7
9715 313 4
9494 4422 6
2205 4385 4
8856 8395 3
3432 4353 3
8987 2547 8
5240 3049 6
7293 7438 9
4630 5841 2
9769 7584 6
1128 3651 9
7673 3145 4
588 5350 9
6153 4206 6
4795 3990 2
8408 9329 9
3097 921 8
1395 8215 9
5115 9197 2
2596 8966 6
5271 6446 9
4612 4119 4
4727 4708 6
9227 861 2
2122 2009 4
2075 417 5
8224 9866 7
3773 1261 4
6761 6376 1
8295 5325 9
1060 6948 6
3829 7912 7
6094 2639 7
3710 1866 1
1883 341 10
4047 2416 7
1891 640 5
7009 4414 9
6694 7527 7
5576 5822 2
3425 3235 1
4072 7064 3
8838 3158 3
1017 3220 1
4057 5104 2
9106 9151 9
924 7394 1
2608 756 5
1906 7450 5
3933 3027 7
7636 2804 4
1936 6876 10
501 2066 1
1705 9435 1
4775 3492 5
8187 2598 6
367 3522 3
3187 6131 9
422 4389 1
7888 4674 10
1176 2311 4
7700 4247 2
7639 1100 1
7089 2805 6
9760 7581 9
7534 2120 7
812 2487 2
1484 5674 3
9264 2448 4
4494 336 9
5456 1513 10
2869 9213 9
3511 3204 10
8923 294 7
7418 54 8
9406 3940 8
345 4752 7
4806 2588 2
1750 8204 2
9435 2699 9
1795 4507 2
114 7376 7
5385 7239 1
1756 6162 7
932 3581 3
4042 9339 6
9271 6036 8
6988 7194 9
6731 5296 3
8922 4732 4
1450 6527 1
1843 2994 8
7801 4731 7
6964 6487 2
6420 3771 5
8635 7813 4
4790 7085 3
2049 4073 7
1897 7156 4
9950 6078 8
3405 7529 5
5016 5724 1
355 3526 2
2933 6842 1
1674 9614 3
348 8249 6
4714 9391 3
5116 1441 8
2712 3338 4
1957 9640 3
5934 3046 4
2791 8062 8
2641 8417 6
3575 1350 8
995 9377 3
2187 9725 4
7545 4439 6
9987 9555 7
2855 8620 7
2878 577 8
5332 2864 6
5315 2007 8
7375 1000 7
2960 4575 9
1740 1923 6
134 462 2
6777 8007 3
2812 4347 1
6640 3554 1
3807 2784 10
6966 8117 6
3171 9784 3
3790 7159 4
9178 120 1
5916 8212 4
2032 8346 7
4225 5123 6
7209 4288 5
9749 7280 9
909 7439 4
5351 4405 3
2656 3928 7
1969 7718 9
2282 6896 1
3522 9165 3
3038 7549 9
3016 1774 4
1001 5335 4
9686 5085 5
8276 2346 6
9651 7697 2
9143 354 10
4772 2323 1
7560 957 9
3172 831 4
644 221 3
2814 3237 9
107 591 5
4393 277 2
5959 4905 8
4964 4557 6
8375 52 10
2067 1176 5
9829 5088 4
4487 8260 7
8311 8904 9
6035 8070 6
1886 8178 7
6720 8923 6
2991 4882 2
1608 9846 1
4275 4574 5
7296 2993 2
8992 2822 2
1645 7309 3
7834 1972 9
7892 4360 10
7539 6246 10
7778 9318 3
8293 2309 5
66 269 3
2748 897 7
5483 8193 10
5746 7186 4
1097 5183 6
1061 3017 10
9930 7261 10
3221 4801 8
4690 2579 6
1434 7224 7
3060 3643 9
4532 6391 6
6931 8226 1
2322 3972 7
536 1422 3
8763 2483 10
8962 8765 2
9874 8338 5
7031 9380 4
9859 814 10
4995 3874 3
3105 4759 5
5760 1690 3
2961 364 6
3699 7252 10
9621 6015 5
4913 4978 1
1114 1204 1
8468 4587 2
4753 4446 6
8262 5794 3
5415 8899 2
5311 1012 4
3433 3973 8
1880 4024 1
8101 3646 6
6806 4911 6
628 6025 2
2788 845 10
4329 1950 6
6685 212 2
9267 1979 2
2960 3642 4
8343 7076 9
442 5308 5
3442 3410 3
8810 216 4
5507 844 9
9761 3632 6
2250 4314 6
5537 999 1
4619 6618 10
8952 5930 3
7945 4273 1
3615 1067 1
3309 4510 3
3002 9672 9
7605 1531 5
4586 1292 10
8763 9894 4
4891 5432 5
1231 6403 5
5902 5355 5
7864 9652 10
9606 3267 7
6657 2928 9
3469 2282 1
6850 6240 5
7426 7178 9
7987 5941 4
2862 832 8
8736 8415 1
3932 4318 6
8706 2182 10
4105 8141 9
572 1150 7
7900 971 2
1253 4173 2
6137 1600 2
5017 9587 5
7440 8802 8
7999 7538 5
8609 1471 3
926 6529 8
2895 635 9
4483 7559 1
5352 5459 2
4855 6712 6
598 9201 8
3519 571 7
8733 8011 9
1132 2363 10
1947 7324 1
7079 8251 2
746 7498 7
8906 8334 6
8216 3686 8
8498 4893 10
9305 5491 4
1712 9010 5
6410 7743 8
3559 5228 3
4598 7175 8
3460 606 9
8851 7705 9
1230 6611 3
4815 4828 1
212 9678 4
8674 5335 5
2689 7047 5
7275 3457 1
6224 3368 1
7537 7966 8
6174 7778 6
9414 6630 1
152 7860 3
9225 9027 3
4687 5592 3
8691 618 8
4537 9659 7
9394 6934 6
8346 9510 5
2526 7047 3
6585 3221 2
1250 2635 4
3621 9140 6
8955 4717 5
5469 9404 7
1661 4447 7
9540 5337 6
4466 4731 2
5553 9429 3
9 8307 10
8784 4892 4
5337 6142 1
8520 6115 1
2267 1422 8
5041 6891 5
9760 4904 4
5096 4444 1
92 5262 4
4725 816 3
2517 7177 10
3709 5961 2
8122 1298 7
7874 6170 4
415 8437 7
4024 3479 8
7038 3239 3
7204 4687 9
6354 1131 4
6588 5857 2
6250 4726 9
572 8435 1
3433 2909 1
5141 784 2
2965 1199 9
8563 1575 10
4700 4966 1
2094 2170 9
285 8524 10
3738 5112 9
4359 7715 6
8509 8287 3
2269 8072 3
32 3214 7
7613 2531 8
9983 1094 3
2185 2146 9
7625 593 9
4105 878 6
1717 968 10
5185 1679 5
9732 188 2
2715 8810 7
8607 8842 3
1635 2807 4
5862 2790 10
8016 1327 6
5137 8953 1
4427 9410 1
2242 7479 9
1522 9017 8
8516 8749 7
150 7816 7
6208 2775 1
5480 4410 8
7283 6624 10
2884 993 8
631 6130 3
8972 557 3
4542 9152 3
1081 674 2
5650 5542 1
4056 2044 8
7624 8252 3
34 3732 6
5251 7367 10
9611 251 3
5298 883 5
2642 6207 5
3044 749 7
7278 8182 1
529 3833 3
8882 4241 8
5051 1866 10
3995 8252 5
7350 9856 2
3682 9467 4
1006 1117 9
4461 3759 6
1177 3155 7
693 6786 2
883 3667 7
2967 8901 10
7096 3952 8
9478 4300 1
5592 1650 7
9073 1684 6
9158 2691 5
6478 3504 6
5 4681 3
4282 1726 9
9445 2609 9
8441 1928 10
4382 9025 5
2190 8503 5
8250 447 7
518 9520 2
8605 5031 5
7809 1509 1
3476 1515 4
2298 2149 10
4259 7946 9
9887 2739 9
768 7121 4
5602 9311 9
1088 3913 6
8225 4431 9
3398 9388 10
1262 7197 1
8982 673 8
7735 9324 7
8214 3583 5
7654 9822 4
9022 590 6
5768 2545 7
1016 3633 3
3064 8210 6
4632 1608 5
7583 2870 2
2043 8204 8
4371 2291 2
5199 6857 7
3974 863 9
1839 6238 1
474 2006 8
4773 9374 4
9337 2438 4
8332 7070 5
6716 4653 7
8650 3049 2
7609 3772 5
5892 5323 3
7758 9297 6
5798 7489 4
4428 7963 10
1956 9088 7
9469 8425 5
1544 6758 8
5228 9826 3
8135 8476 4
5598 6085 6
5352 1977 10
1964 6087 9
9440 1885 8
3153 2666 4
5225 974 2
3023 443 10
6907 8339 10
566 3568 6
5231 8055 3
2944 3653 10
4430 9005 10
7591 7322 7
49 3114 5
6349 2619 1
612 4196 5
315 7219 10
8444 4127 9
9683 1045 9
749 6276 4
6643 5573 9
4974 6355 7
5283 3946 1
8032 347 5
2666 6696 4
6318 3660 1
4592 3976 10
6013 8772 9
5773 4808 7
9102 5557 3
6837 8552 6
4578 3526 3
7676 5162 9
8096 3194 7
1630 5860 5
4135 8530 6
4485 3122 2
8407 5487 6
2807 1260 4
8253 6714 3
9976 9904 5
3623 834 4
3626 8510 6
3926 6606 10
4574 4588 2
1919 8723 2
2924 9561 6
4257 7968 5
4362 775 5
5628 5381 2
2450 1709 8
4177 5332 2
9430 5310 4
6197 5589 10
9806 163 10
1979 2082 3
2682 1358 6
6507 1967 6
2171 6330 4
5447 1958 5
1790 760 4
8037 4937 8
1470 4367 1
3413 564 10
8314 6722 3
7803 5053 8
2368 7735 6
6493 594 4
4939 2765 6
6864 4565 6
7818 6355 6
481 745 4
4828 2215 3
838 1981 10
2437 295 4
552 4451 8
749 3171 5
2304 6016 10
2179 7307 7
8384 4171 2
2899 1989 10
4527 8822 5
1092 3651 2
2024 841 3
6225 9631 1
3501 183 4
5830 7284 7
5894 9588 3
2905 8120 3
2682 6504 4
7023 5756 6
4072 283 8
8218 1375 1
4580 9751 5
9274 5977 6
616 5830 1
6409 1660 5
1725 3906 5
9410 6812 5
4402 9494 2
9917 2869 8
7422 3294 1
102 1512 6
2784 2444 9
6308 1719 8
9463 2335 8
5505 5097 8
2479 3174 7
1746 8936 9
9132 3338 5
3023 9608 4
2670 3382 8
2600 3484 1
257 6269 5
7666 8929 6
7403 8393 2
2971 250 1
6550 9082 7
388 828 4
4686 9960 4
4830 2984 2
7844 2006 5
503 959 1
8323 1216 2
4940 5234 2
3275 2638 7
298 1961 7
2418 4863 9
4065 5252 9
4648 6290 2
1273 7473 8
1155 5317 4
771 5820 3
223 496 10
5945 5436 4
6948 5063 4
6344 5362 5
2342 7780 1
1071 8197 5
3331 9197 5
5552 471 8
7109 7978 7
673 8749 10
5195 8972 6
7286 1269 4
4612 8217 7
4575 4561 9
2852 6904 2
2344 4327 1
7088 7658 1
8122 3211 2
2982 320 10
3158 7345 1
5507 2541 3
4704 6179 5
5689 791 2
5386 1719 6
